project_id,address,units,v2_status,v2_co_date,inspection_co_date,classification,delta_days,n_permits_with_inspections,n_permits_with_approved_final,multi_permit,per_permit,final_results_seen
600,2320 Jefferson,1,Completed,2019-11-26,2019-11-26,agrees,0,1,1,0,B2018-04354=2019-11-26,Approved;Cancelled;Disapproved
694,2633 Marin,1,Completed,2020-09-24,2020-09-24,agrees,0,1,1,0,B2018-04394=2020-09-24,Approved;Partially Approved
630,1353 Berkeley,1,Completed,2020-10-23,2020-10-23,agrees,0,1,1,0,B2018-04404=2020-10-23,Approved
594,1004 Jones,1,Completed,2019-07-26,2019-07-26,agrees,0,1,1,0,B2018-04738=2019-07-26,Approved;Cancelled;Disapproved;Partially Approved
642,2125 Sixth,1,Completed,2020-08-14,2020-08-14,agrees,0,1,1,0,B2018-04808=2020-08-14,Approved;Cancelled;Disapproved
537,1276 Sixty-Fifth,1,Completed,2019-10-22,2019-10-22,agrees,0,1,1,0,B2018-04819=2019-10-22,Approved;Disapproved
541,2225 Ward,1,Completed,2019-08-30,2019-08-30,agrees,0,1,1,0,B2018-04829=2019-08-30,Approved;Cancelled;Disapproved
635,2128 Oregon,1,Completed,2020-03-17,2020-03-17,agrees,0,1,1,0,B2018-04967=2020-03-17,Approved;Disapproved
666,2832 Stanton,1,Completed,2020-02-21,2020-02-21,agrees,0,1,1,0,B2018-05064=2020-02-21,Approved
650,1410 Hawthorne,1,Completed,2020-05-29,2020-05-29,agrees,0,1,1,0,B2018-05114=2020-05-29,Approved;Cancelled;Rescheduled
602,3124 Lewiston,1,Completed,2019-12-10,2019-12-10,agrees,0,1,1,0,B2018-05115=2019-12-10,Approved;Disapproved
598,1527 Woolsey,1,Completed,2019-11-07,2019-11-07,agrees,0,1,1,0,B2019-00029=2019-11-07,Approved;Cancelled;Disapproved
754,1526 Sixth,1,Completed,2021-02-09,2021-02-09,agrees,0,1,1,0,B2019-00047=2021-02-09,Approved;Cancelled;Disapproved
243,2206 Roosevelt Ave,1,Completed,2024-08-30,2024-08-30,agrees,0,1,1,0,B2019-00301=2024-08-30,Approved;Disapproved
645,2440 Grant,1,Completed,2020-02-27,2020-02-27,agrees,0,1,1,0,B2019-00501=2020-02-27,Approved;Disapproved
668,65 Domingo,1,Completed,2020-01-09,2020-01-09,agrees,0,1,1,0,B2019-00584=2020-01-09,Approved;Disapproved
