"apn","strnbr","strdirect","strname","strapart","strfract","bldsqfttaxable","lotsqft"
"058 214402800","1611",,"FRANKLIN ST",,,"2375","5200"
"058 214402900","1605",,"FRANKLIN ST",,,"1169","7800"
"058 214403000","1637",,"FRANKLIN ST",,,"804","3121"
"058 214403100","1641",,"FRANKLIN ST",,,"804","3121"
"058 214403200","1645",,"FRANKLIN ST",,,"804","3121"
"058 214403300","1637",,"FRANKLIN ST","COM",,"0","0"
"058 214500103","1454",,"CEDAR ST",,,"1024","5985"
"058 214500104","1458",,"CEDAR ST",,,"1566","5985"
"058 214500107","1462",,"CEDAR ST",,,"1743","7515"
"058 214500108","1466",,"CEDAR ST",,,"2194","7380"
"058 214500109","1470",,"CEDAR ST",,,"1985","5957"
"058 214500110","1474",,"CEDAR ST",,,"3030","7110"
"058 214500113","1600",,"SACRAMENTO ST",,,"9506","23963"
"058 214500201","1620",,"SACRAMENTO ST",,,"1501","3690"
"058 214500300","1626",,"SACRAMENTO ST",,,"1908","3600"
"058 214500400","1638",,"SACRAMENTO ST",,,"1717","3150"
"058 214500500","1483",,"LINCOLN ST",,,"1881","4590"
"058 214500600","1481",,"LINCOLN ST",,,"1516","3384"
"058 214500700","1479",,"LINCOLN ST",,,"1780","3588"
"058 214500800","1471",,"LINCOLN ST",,,"1720","4895"
"058 214500900","1461",,"LINCOLN ST",,,"2209","3960"
"058 214501000","1451",,"LINCOLN ST",,,"1791","3960"
"058 214501101","1441",,"LINCOLN ST",,,"2621","8334"
"058 214501200","1437",,"LINCOLN ST",,,"1698","7475"
"058 214501300","1435",,"LINCOLN ST",,,"1724","7458"
"058 214501400","1431",,"LINCOLN ST",,,"1859","3870"
"058 214501500","1421",,"LINCOLN ST",,,"1380","4284"
"058 214501600","1411",,"LINCOLN ST",,,"1368","3570"
"058 214501700","1401",,"LINCOLN ST",,,"1304","3570"
"058 214501800","1617",,"ACTON ST",,,"1576","3320"
"058 214501900","1615",,"ACTON ST",,,"1976","6636"
"058 214502001","1613",,"ACTON ST",,,"1331","6636"
"058 214502100","1611",,"ACTON ST",,,"1124","5250"
"058 214502200","1609",,"ACTON ST",,,"1404","5375"
"058 214502300","1430",,"CEDAR ST",,,"1378","3264"
"058 214502400","1440",,"CEDAR ST",,,"1062","3160"
"058 214502502","1450",,"CEDAR ST",,,"1266","7833"
"058 214502700","1482",,"LINCOLN ST",,,"2065","3150"
"058 214502800","1650",,"SACRAMENTO ST",,,"1757","3150"
"058 214502900","1656",,"SACRAMENTO ST",,,"1710","3690"
"058 214503000","1660",,"SACRAMENTO ST",,,"2029","3690"
"058 214503100","1670",,"SACRAMENTO ST",,,"2296","3690"
"058 214503200","1676",,"SACRAMENTO ST",,,"2262","3600"
"058 214503300","1684",,"SACRAMENTO ST",,,"2010","3600"
"058 214503400","1690",,"SACRAMENTO ST",,,"1808","3600"
"058 214503500","1696",,"SACRAMENTO ST",,,"1705","3420"
"058 214503600","1481",,"VIRGINIA ST",,,"1637","4050"
"058 214503700","1693",,"SHORT ST",,,"1678","3600"
"058 214503800","1685",,"SHORT ST",,,"1644","3600"
"058 214503900","1675",,"SHORT ST",,,"1522","3600"
