Date	Permit Number	Status	Address	Occupancy Class
01/01/2024	ESR-2024-00003	Closed Expired	2416 ROOSEVELT Ave, BERKELEY CA 94703	R-2
01/01/2024	ESR-2024-00005	Closed Expired	2332 M L KING JR Way, BERKELEY CA 94704	R-2
12/27/2023	23TMP-032591		2321 SEVENTH St, BERKELEY CA 94710	R-2
12/24/2023	23TMP-032345		1635 FRANCISCO St, B, BERKELEY CA 94703	R-2
12/22/2023	ESR-2023-03712	Closed Expired	1509 HEARST Ave, BERKELEY CA 94703	R-2
12/19/2023	ESR-2023-03670	Closed Expired	1423 WALNUT St, COM, BERKELEY CA 94709	R-2
12/19/2023	ESR-2023-03673	Closed Expired	2012 BERKELEY Way, BERKELEY CA 94704	R-2
12/18/2023	ESR-2023-03658	Closed Expired	1520 FAIRVIEW St, B, BERKELEY CA 94703	R-2
12/13/2023	23TMP-030685		3038 HALCYON Ct, A, BERKELEY CA 94705	R-2
12/11/2023	ESR-2023-03609	Closed Expired	1545 HOPKINS St, BERKELEY CA 94707	R-2
11/30/2023	ESR-2023-03511	Closed Expired	2091 CALIFORNIA St, BERKELEY CA 94703	R-2
